UniqId,Position,Block,Trt,LorR,Species,ML,Combos,Of_exp,Seed_Number
293R,293,2,Inter,R,P,Ip-4.14,Ihed-4.15-Ip-4.14,R,112
295L,295,2,Inter,L,H,Ihed-4.9,Ihed-4.9-Ip-4.15,R,296
295R,295,2,Inter,R,P,Ip-4.15,Ihed-4.9-Ip-4.15,R,286
296L,296,2,Alone,L,P,Ip-4.14,Ip-4.14,O,1611
297R,297,2,Intra,R,H,Ihed-4.4,Ihed-4.12-Ihed-4.4,O,1278
298L,298,2,Intra,L,H,Ihed-4.9,Ihed-4.4-Ihed-4.9,R,133
298R,298,2,Intra,R,H,Ihed-4.4,Ihed-4.4-Ihed-4.9,R,41
299L,299,2,Inter,L,H,Ihed-4.2,Ihed-4.2-Ip-4.17,R,176
299R,299,2,Inter,R,P,Ip-4.17,Ihed-4.2-Ip-4.17,R,178
2L,2,1,Inter,L,P,Ip-4.15,Ihed-4.3-Ip-4.15,O,380
2R,2,1,Inter,R,H,Ihed-4.3,Ihed-4.3-Ip-4.15,O,340
301L,301,2,Inter,L,P,Ip-4.18,Ihed-4.4-Ip-4.18,R,62
301R,301,2,Inter,R,H,Ihed-4.4,Ihed-4.4-Ip-4.18,R,81
302L,302,2,Intra,L,H,Ihed-4.9,Ihed-4.1-Ihed-4.9,O,632
302R,302,2,Intra,R,H,Ihed-4.1,Ihed-4.1-Ihed-4.9,O,51
304L,304,2,Alone,L,H,Ihed-4.4,Ihed-4.4,O,1382
308L,308,2,Alone,L,H,Ihed-4.4,Ihed-4.4,R,59
311L,311,2,Inter,L,P,Ip-4.11,Ihed-4.4-Ip-4.11,R,117
311R,311,2,Inter,R,H,Ihed-4.4,Ihed-4.4-Ip-4.11,R,62
314L,314,2,Intra,L,H,Ihed-4.4,Ihed-4.4-Ihed-4.9,R,90
314R,314,2,Intra,R,H,Ihed-4.9,Ihed-4.4-Ihed-4.9,R,168
315L,315,2,Inter,L,P,Ip-4.12,Ihed-4.9-Ip-4.12,R,102
315R,315,2,Inter,R,H,Ihed-4.9,Ihed-4.9-Ip-4.12,R,153
320L,320,2,Alone,L,H,Ihed-4.1,Ihed-4.1,O,2765
322R,322,2,Inter,R,H,Ihed-4.4,Ihed-4.4-Ip-4.17,R,34
325L,325,2,Intra,L,H,Ihed-4.7,Ihed-4.2-Ihed-4.7,O,1146
325R,325,2,Intra,R,H,Ihed-4.2,Ihed-4.2-Ihed-4.7,O,654
326L,326,2,Alone,L,P,Ip-4.11,Ip-4.11,O,536
330L,330,2,Inter,L,P,Ip-4.13,Ihed-4.2-Ip-4.13,O,320
330R,330,2,Inter,R,H,Ihed-4.2,Ihed-4.2-Ip-4.13,O,66
335R,335,2,Intra,R,H,Ihed-4.3,Ihed-4.3-Ihed-4.9,R,87
337L,337,2,Inter,L,H,Ihed-4.4,Ihed-4.4-Ip-4.11,R,178
337R,337,2,Inter,R,P,Ip-4.11,Ihed-4.4-Ip-4.11,R,264
341L,341,2,Inter,L,P,Ip-4.14,Ihed-4.12-Ip-4.14,O,1114
341R,341,2,Inter,R,H,Ihed-4.12,Ihed-4.12-Ip-4.14,O,1548
342L,342,2,Inter,L,P,Ip-4.16,Ihed-4.3-Ip-4.16,R,29
342R,342,2,Inter,R,H,Ihed-4.3,Ihed-4.3-Ip-4.16,R,61
345L,345,2,Alone,L,H,Ihed-4.9,Ihed-4.9,O,1485
347L,347,2,Inter,L,H,Ihed-4.3,Ihed-4.3-Ip-4.15,R,569
347R,347,2,Inter,R,P,Ip-4.15,Ihed-4.3-Ip-4.15,R,1736
348L,348,2,Inter,L,H,Ihed-4.1,Ihed-4.1-Ip-4.11,R,719
348R,348,2,Inter,R,P,Ip-4.11,Ihed-4.1-Ip-4.11,R,358
349L,349,2,Inter,L,H,Ihed-4.3,Ihed-4.3-Ip-4.14,R,512
349R,349,2,Inter,R,P,Ip-4.14,Ihed-4.3-Ip-4.14,R,720
352L,352,2,Intra,L,H,Ihed-4.1,Ihed-4.1-Ihed-4.15,R,38
356L,356,2,Inter,L,P,Ip-4.18,Ihed-4.2-Ip-4.18,O,578
356R,356,2,Inter,R,H,Ihed-4.2,Ihed-4.2-Ip-4.18,O,1003
357L,357,2,Intra,L,H,Ihed-4.3,Ihed-4.12-Ihed-4.3,R,51
357R,357,2,Intra,R,H,Ihed-4.12,Ihed-4.12-Ihed-4.3,R,46
359L,359,2,Inter,L,H,Ihed-4.15,Ihed-4.15-Ip-4.17,O,726
359R,359,2,Inter,R,P,Ip-4.17,Ihed-4.15-Ip-4.17,O,669
361L,361,2,Inter,L,H,Ihed-4.15,Ihed-4.15-Ip-4.16,R,68
361R,361,2,Inter,R,P,Ip-4.16,Ihed-4.15-Ip-4.16,R,151
362L,362,2,Inter,L,P,Ip-4.13,Ihed-4.15-Ip-4.13,R,86
362R,362,2,Inter,R,H,Ihed-4.15,Ihed-4.15-Ip-4.13,R,81
363L,363,2,Intra,L,H,Ihed-4.2,Ihed-4.2-Ihed-4.9,O,149
363R,363,2,Intra,R,H,Ihed-4.9,Ihed-4.2-Ihed-4.9,O,781
365L,365,2,Intra,L,H,Ihed-4.1,Ihed-4.1-Ihed-4.7,R,163
365R,365,2,Intra,R,H,Ihed-4.7,Ihed-4.1-Ihed-4.7,R,277
371L,371,2,Inter,L,H,Ihed-4.7,Ihed-4.7-Ip-4.14,R,133
371R,371,2,Inter,R,P,Ip-4.14,Ihed-4.7-Ip-4.14,R,162
373L,373,2,Inter,L,H,Ihed-4.15,Ihed-4.15-Ip-4.14,R,126
373R,373,2,Inter,R,P,Ip-4.14,Ihed-4.15-Ip-4.14,R,824
376L,376,2,Inter,L,P,Ip-4.13,Ihed-4.3-Ip-4.13,R,524
376R,376,2,Inter,R,H,Ihed-4.3,Ihed-4.3-Ip-4.13,R,471
377L,377,2,Alone,L,H,Ihed-4.1,Ihed-4.1,R,260
380L,380,2,Alone,L,H,Ihed-4.9,Ihed-4.9,R,195
381L,381,2,Inter,L,H,Ihed-4.12,Ihed-4.12-Ip-4.17,R,336
381R,381,2,Inter,R,P,Ip-4.17,Ihed-4.12-Ip-4.17,R,21
383R,383,2,Alone,R,H,Ihed-4.2,Ihed-4.2,R,86
384L,384,2,Inter,L,P,Ip-4.16,Ihed-4.3-Ip-4.16,R,208
384R,384,2,Inter,R,H,Ihed-4.3,Ihed-4.3-Ip-4.16,R,120
385L,385,2,Inter,L,P,Ip-4.18,Ihed-4.9-Ip-4.18,R,119
385R,385,2,Inter,R,H,Ihed-4.9,Ihed-4.9-Ip-4.18,R,286
386L,386,2,Intra,L,H,Ihed-4.12,Ihed-4.12-Ihed-4.3,R,94
386R,386,2,Intra,R,H,Ihed-4.3,Ihed-4.12-Ihed-4.3,R,55
387L,387,2,Intra,L,H,Ihed-4.7,Ihed-4.7-Ihed-4.9,R,60
387R,387,2,Intra,R,H,Ihed-4.9,Ihed-4.7-Ihed-4.9,R,35
388L,388,2,Inter,L,P,Ip-4.16,Ihed-4.1-Ip-4.16,R,123
388R,388,2,Inter,R,H,Ihed-4.1,Ihed-4.1-Ip-4.16,R,183
389L,389,2,Inter,L,H,Ihed-4.7,Ihed-4.7-Ip-4.17,R,23
389R,389,2,Inter,R,P,Ip-4.17,Ihed-4.7-Ip-4.17,R,174
390L,390,2,Inter,L,P,Ip-4.15,Ihed-4.12-Ip-4.15,R,137
391L,391,2,Alone,L,H,Ihed-4.7,Ihed-4.7,R,113
393L,393,2,Inter,L,P,Ip-4.17,Ihed-4.3-Ip-4.17,R,216
393R,393,2,Inter,R,H,Ihed-4.3,Ihed-4.3-Ip-4.17,R,78
394L,394,2,Alone,L,H,Ihed-4.3,Ihed-4.3,R,21
395L,395,2,Alone,L,P,Ip-4.17,Ip-4.17,R,132
396R,396,2,Intra,R,H,Ihed-4.15,Ihed-4.12-Ihed-4.15,R,159
397R,397,2,Intra,R,H,Ihed-4.2,Ihed-4.15-Ihed-4.2,R,33
398L,398,2,Inter,L,H,Ihed-4.4,Ihed-4.4-Ip-4.15,R,206
399L,399,2,Inter,L,P,Ip-4.11,Ihed-4.9-Ip-4.11,R,86
399R,399,2,Inter,R,H,Ihed-4.9,Ihed-4.9-Ip-4.11,R,71
400L,400,2,Inter,L,P,Ip-4.11,Ihed-4.2-Ip-4.11,R,716
400R,400,2,Inter,R,H,Ihed-4.2,Ihed-4.2-Ip-4.11,R,152
401L,401,2,Alone,L,P,Ip-4.14,Ip-4.14,R,861
403L,403,2,Alone,L,P,Ip-4.18,Ip-4.18,R,316
404L,404,2,Alone,L,H,Ihed-4.7,Ihed-4.7,R,338
405L,405,2,Inter,L,H,Ihed-4.1,Ihed-4.1-Ip-4.17,R,166
405R,405,2,Inter,R,P,Ip-4.17,Ihed-4.1-Ip-4.17,R,445
