UniqId,Position,Block,Trt,LorR,Species,ML,Combos,Of_exp,Seed_Number
882R,882,4,Intra,R,H,Ihed-4.12,Ihed-4.12-Ihed-4.4,R,371
883L,883,4,Intra,L,H,Ihed-4.15,Ihed-4.1-Ihed-4.15,R,493
883R,883,4,Intra,R,H,Ihed-4.1,Ihed-4.1-Ihed-4.15,R,546
884L,884,4,Inter,L,P,Ip-4.14,Ihed-4.4-Ip-4.14,R,548
884R,884,4,Inter,R,H,Ihed-4.4,Ihed-4.4-Ip-4.14,R,426
885L,885,4,Inter,L,H,Ihed-4.3,Ihed-4.3-Ip-4.17,R,469
885R,885,4,Inter,R,P,Ip-4.17,Ihed-4.3-Ip-4.17,R,680
886L,886,4,Alone,L,H,Ihed-4.15,Ihed-4.15,R,281
887L,887,4,Inter,L,P,Ip-4.18,Ihed-4.15-Ip-4.18,R,505
887R,887,4,Inter,R,H,Ihed-4.15,Ihed-4.15-Ip-4.18,R,289
888L,888,4,Inter,L,H,Ihed-4.12,Ihed-4.12-Ip-4.12,R,319
888R,888,4,Inter,R,P,Ip-4.12,Ihed-4.12-Ip-4.12,R,137
889R,889,4,Alone,R,H,Ihed-4.2,Ihed-4.2,R,293
892L,892,4,Intra,L,H,Ihed-4.12,Ihed-4.12-Ihed-4.9,R,210
892R,892,4,Intra,R,H,Ihed-4.9,Ihed-4.12-Ihed-4.9,R,230
893L,893,4,Inter,L,H,Ihed-4.9,Ihed-4.9-Ip-4.14,R,283
893R,893,4,Inter,R,P,Ip-4.14,Ihed-4.9-Ip-4.14,R,333
895R,895,4,Inter,R,P,Ip-4.18,Ihed-4.3-Ip-4.18,R,272
898L,898,4,Alone,L,H,Ihed-4.7,Ihed-4.7,R,175
900R,900,4,Inter,R,P,Ip-4.14,Ihed-4.9-Ip-4.14,R,21
901L,901,4,Inter,L,H,Ihed-4.7,Ihed-4.7-Ip-4.15,R,250
901R,901,4,Inter,R,P,Ip-4.15,Ihed-4.7-Ip-4.15,R,104
902L,902,4,Intra,L,H,Ihed-4.2,Ihed-4.2-Ihed-4.2,R,239
902R,902,4,Intra,R,H,Ihed-4.2,Ihed-4.2-Ihed-4.2,R,638
904L,904,4,Intra,L,H,Ihed-4.12,Ihed-4.12-Ihed-4.9,R,1719
904R,904,4,Intra,R,H,Ihed-4.9,Ihed-4.12-Ihed-4.9,R,403
905L,905,4,Intra,L,H,Ihed-4.1,Ihed-4.1-Ihed-4.7,R,611
905R,905,4,Intra,R,H,Ihed-4.7,Ihed-4.1-Ihed-4.7,R,1288
906L,906,4,Inter,L,H,Ihed-4.4,Ihed-4.4-Ip-4.18,R,759
906R,906,4,Inter,R,P,Ip-4.18,Ihed-4.4-Ip-4.18,R,301
907L,907,4,Inter,L,H,Ihed-4.3,Ihed-4.3-Ip-4.16,R,849
907R,907,4,Inter,R,P,Ip-4.16,Ihed-4.3-Ip-4.16,R,649
908L,908,4,Intra,L,H,Ihed-4.15,Ihed-4.15-Ihed-4.9,R,285
908R,908,4,Intra,R,H,Ihed-4.9,Ihed-4.15-Ihed-4.9,R,620
909L,909,4,Intra,L,H,Ihed-4.1,Ihed-4.1-Ihed-4.4,R,290
909R,909,4,Intra,R,H,Ihed-4.4,Ihed-4.1-Ihed-4.4,R,426
910L,910,4,Inter,L,H,Ihed-4.7,Ihed-4.7-Ip-4.13,R,298
910R,910,4,Inter,R,P,Ip-4.13,Ihed-4.7-Ip-4.13,R,445
911L,911,4,Inter,L,P,Ip-4.18,Ihed-4.9-Ip-4.18,R,359
911R,911,4,Inter,R,H,Ihed-4.9,Ihed-4.9-Ip-4.18,R,381
912L,912,4,Alone,L,H,Ihed-4.3,Ihed-4.3,R,408
913L,913,4,Inter,L,H,Ihed-4.7,Ihed-4.7-Ip-4.18,R,229
913R,913,4,Inter,R,P,Ip-4.18,Ihed-4.7-Ip-4.18,R,243
914L,914,4,Inter,L,H,Ihed-4.12,Ihed-4.12-Ip-4.11,R,127
914R,914,4,Inter,R,P,Ip-4.11,Ihed-4.12-Ip-4.11,R,248
915L,915,4,Inter,L,P,Ip-4.16,Ihed-4.7-Ip-4.16,R,47
915R,915,4,Inter,R,H,Ihed-4.7,Ihed-4.7-Ip-4.16,R,103
918L,918,4,Intra,L,H,Ihed-4.3,Ihed-4.3-Ihed-4.9,R,60
918R,918,4,Intra,R,H,Ihed-4.9,Ihed-4.3-Ihed-4.9,R,30
91L,91,1,Alone,L,H,Ihed-4.7,Ihed-4.7,O,289
920L,920,4,Inter,L,P,Ip-4.14,Ihed-4.7-Ip-4.14,R,170
920R,920,4,Inter,R,H,Ihed-4.7,Ihed-4.7-Ip-4.14,R,102
921L,921,4,Inter,L,P,Ip-4.13,Ihed-4.12-Ip-4.13,R,118
921R,921,4,Inter,R,H,Ihed-4.12,Ihed-4.12-Ip-4.13,R,112
922L,922,4,Alone,L,P,Ip-4.12,Ip-4.12,R,319
923R,923,4,Alone,R,H,Ihed-4.7,Ihed-4.7,R,150
925L,925,4,Inter,L,P,Ip-4.12,Ihed-4.2-Ip-4.12,R,150
925R,925,4,Inter,R,H,Ihed-4.2,Ihed-4.2-Ip-4.12,R,262
928R,928,4,Inter,R,H,Ihed-4.2,Ihed-4.2-Ip-4.13,R,373
929R,929,4,Inter,R,H,Ihed-4.2,Ihed-4.2-Ip-4.12,R,819
931L,931,4,Intra,L,H,Ihed-4.9,Ihed-4.4-Ihed-4.9,R,615
931R,931,4,Intra,R,H,Ihed-4.4,Ihed-4.4-Ihed-4.9,R,893
932R,932,4,Inter,R,H,Ihed-4.3,Ihed-4.3-Ip-4.12,R,750
933L,933,4,Inter,L,H,Ihed-4.2,Ihed-4.2-Ip-4.16,R,691
933R,933,4,Inter,R,P,Ip-4.16,Ihed-4.2-Ip-4.16,R,460
935L,935,4,Alone,L,H,Ihed-4.4,Ihed-4.4,R,495
936R,936,4,Alone,R,P,Ip-4.18,Ip-4.18,R,237
937L,937,4,Alone,L,H,Ihed-4.7,Ihed-4.7,R,282
938L,938,4,Alone,L,H,Ihed-4.9,Ihed-4.9,O,3429
942L,942,4,Inter,L,H,Ihed-4.4,Ihed-4.4-Ip-4.12,R,443
942R,942,4,Inter,R,P,Ip-4.12,Ihed-4.4-Ip-4.12,R,711
945L,945,4,Inter,L,H,Ihed-4.15,Ihed-4.15-Ip-4.11,R,159
945R,945,4,Inter,R,P,Ip-4.11,Ihed-4.15-Ip-4.11,R,156
948L,948,4,Inter,L,P,Ip-4.14,Ihed-4.12-Ip-4.14,O,1006
948R,948,4,Inter,R,H,Ihed-4.12,Ihed-4.12-Ip-4.14,O,1033
95L,95,1,Inter,L,H,Ihed-4.3,Ihed-4.3-Ip-4.18,R,64
95R,95,1,Inter,R,P,Ip-4.18,Ihed-4.3-Ip-4.18,R,100
96L,96,1,Inter,L,H,Ihed-4.7,Ihed-4.7-Ip-4.18,O,761
96R,96,1,Inter,R,P,Ip-4.18,Ihed-4.7-Ip-4.18,O,800
