Position,UniqId,Block,Trt,ML,Species,Combos,Of_exp,TotalProjStr,AreaConvexHull,MaxWidth,rootangle_right,rootangle_left,AvAng
15,15L,1,Inter,Ihed-4.12,H,Ihed-4.12-Ip-4.18,O,222.7664795,76.92355347,7.414559841,78.69999695,86.5,7.400001525
15,15R,1,Inter,Ip-4.18,P,Ihed-4.12-Ip-4.18,O,204.3031006,27.78490448,3.293539286,89.40000153,99.59999847,0.59999847
161,161L,1,Intra,Ihed-4.12,H,Ihed-4.12-Ihed-4.9,O,286.3431091,84.44049835,9.110486984,42.79999924,91.59999847,47.20000076
161,161R,1,Intra,Ihed-4.9,H,Ihed-4.12-Ihed-4.9,O,279.2357483,61.25012207,5.956226826,96.69999695,77.59999847,12.40000153
163,163L,1,Alone,Ip-4.18,P,Ip-4.18,O,435.8320923,81.3535614,9.880618095,49.5,74.40000153,28.04999924
165,165L,1,Alone,Ip-4.17,P,Ip-4.17,O,312.5818481,54.99764633,5.579353809,91.80000305,74.5,15.5
167,167L,1,Inter,Ip-4.16,P,Ihed-4.9-Ip-4.16,O,256.436554,67.70168304,10.65074921,86,96.5,4
167,167R,1,Inter,Ihed-4.9,H,Ihed-4.9-Ip-4.16,O,376.0473022,63.44351196,6.93937254,86,54.40000153,19.79999924
168,168L,1,Alone,Ihed-4.2,H,Ihed-4.2,O,270.5475464,64.12736511,5.857912064,53.5,52.40000153,37.04999924
169,169L,1,Inter,Ihed-4.3,H,Ihed-4.3-Ip-4.17,O,289.0233154,73.26238251,7.775046825,61.90000153,78,20.04999924
169,169R,1,Inter,Ip-4.17,P,Ihed-4.3-Ip-4.17,O,295.1588745,62.55446243,5.513810635,82.30000305,57.29999924,20.19999886
170,170L,1,Inter,Ihed-4.2,H,Ihed-4.2-Ip-4.12,O,375.2767639,86.85660553,8.496020317,72.80000305,57.09999847,25.04999924
170,170R,1,Inter,Ip-4.12,P,Ihed-4.2-Ip-4.12,O,280.5195313,46.00714874,4.268492699,69.59999847,89.09999847,10.65000153
173,173L,1,Inter,Ip-4.16,P,Ihed-4.3-Ip-4.16,O,386.1146545,58.58008957,5.628511429,56.40000153,94.09999847,33.59999847
173,173R,1,Inter,Ihed-4.3,H,Ihed-4.3-Ip-4.16,O,280.0354614,77.14667511,11.40449429,77.30000305,88.5,7.099998475
175,175L,1,Intra,Ihed-4.15,H,Ihed-4.15-Ihed-4.2,O,273.9313354,53.20928192,5.94803381,69.09999847,58.59999847,26.15000153
175,175R,1,Intra,Ihed-4.2,H,Ihed-4.15-Ihed-4.2,O,158.6136627,32.94742584,4.030899048,85.90000153,100.6999969,4.09999847
176,176L,1,Inter,Ihed-4.2,H,Ihed-4.2-Ihed-4.2,O,432.0549316,77.37073517,7.406366825,52.90000153,93.30000305,37.09999847
176,176R,1,Inter,Ihed-4.2,H,Ihed-4.2-Ihed-4.2,O,219.5623779,66.36096191,8.25023365,52.70000076,65.09999847,31.10000039
17,17L,1,Intra,Ihed-4.15,H,Ihed-4.15-Ihed-4.7,O,266.2634583,45.71737671,5.562968254,88.40000153,84.59999847,3.5
17,17R,1,Intra,Ihed-4.7,H,Ihed-4.15-Ihed-4.7,O,160.8824158,38.99181747,5.399110317,85.30000305,30.20000076,32.2499981
183,183R,1,Inter,Ip-4.11,P,Ihed-4.3-Ip-4.11,O,489.8500977,93.47966766,10.51966286,48.5,79.09999847,26.20000077
186,186L,1,Inter,Ihed-4.4,H,Ihed-4.4-Ip-4.15,O,256.8635254,61.236763,6.226591587,73.09999847,85.80000305,10.54999924
18,18R,1,Alone,Ihed-4.3,H,Ihed-4.3,O,142.8609772,25.09272003,3.621254683,78.5,84.5,8.5
190,190L,1,Alone,Ihed-4.3,H,Ihed-4.3,O,414.4372559,80.54412079,8.774579048,58.90000153,38.70000076,41.19999886
191,191L,1,Inter,Ihed-4.15,H,Ihed-4.15-Ip-4.18,O,250.453949,70.02676392,6.537921429,68.40000153,86,12.79999924
191,191R,1,Inter,Ip-4.18,P,Ihed-4.15-Ip-4.18,O,346.7148438,60.57089996,5.800561905,51.79999924,113.3000031,38.20000076
192,192L,1,Inter,Ihed-4.12,H,Ihed-4.12-Ip-4.13,O,199.8952026,36.19169998,4.653558254,69.40000153,79,15.79999924
192,192R,1,Inter,Ip-4.13,P,Ihed-4.12-Ip-4.13,O,207.5194244,36.54335785,4.194756508,73,59.90000153,23.54999924
193,193L,1,Intra,Ihed-4.9,H,Ihed-4.2-Ihed-4.9,O,272.8898621,100.9896927,9.897004128,36.79999924,103,53.20000076
193,193R,1,Intra,Ihed-4.2,H,Ihed-4.2-Ihed-4.9,O,125.2728577,36.43831253,5.579353809,100.1999969,73.80000305,16.19999695
194,194R,1,Alone,Ihed-4.2,H,Ihed-4.2,O,172.7825775,36.01382446,7.30805254,121.8000031,69.5,20.5
195,195L,1,Alone,Ip-4.16,P,Ip-4.16,O,294.8019409,48.98084641,4.112827778,75.59999847,27.5,38.45000077
196,196L,1,Intra,Ihed-4.12,H,Ihed-4.12-Ihed-4.2,O,353.0259399,83.02540588,11.23244381,33.40000153,92.19999695,56.59999847
196,196R,1,Intra,Ihed-4.2,H,Ihed-4.12-Ihed-4.2,O,275.1092224,79.60237885,6.242977619,72.5,100,17.5
198,198L,1,Inter,Ihed-4.9,H,Ihed-4.9-Ip-4.18,O,260.4659729,52.11288834,5.587546825,73.69999695,84.5,10.90000153
198,198R,1,Inter,Ip-4.18,P,Ihed-4.9-Ip-4.18,O,381.1423645,82.600914,7.783239841,12.60000038,88.5,39.44999981
200,200L,1,Intra,Ihed-4.3,H,Ihed-4.3-Ihed-4.9,O,176.3627625,52.60107803,6.669007301,88.80000305,69.19999695,11
200,200R,1,Intra,Ihed-4.9,H,Ihed-4.3-Ihed-4.9,O,161.1316833,39.16559982,5.333567619,73.09999847,87.30000305,9.79999924
201,201L,1,Intra,Ihed-4.2,H,Ihed-4.15-Ihed-4.2,O,233.6921234,57.75252533,8.061798096,59.5,55.40000153,32.54999924
201,201R,1,Intra,Ihed-4.15,H,Ihed-4.15-Ihed-4.2,O,266.7668152,66.24094391,8.29119873,97.90000153,80.40000153,9.59999847
203,203R,1,Alone,Ihed-4.9,H,Ihed-4.9,O,214.5157776,45.33322906,6.02996254,87.59999847,87.09999847,2.65000153
214,214L,1,Inter,Ihed-4.2,H,Ihed-4.2-Ip-4.14,O,323.9460754,72.55838776,8.05360508,59.20000076,87.30000305,16.7499981
214,214R,1,Inter,Ip-4.14,P,Ihed-4.2-Ip-4.14,O,428.3454895,79.43048096,8.315776825,67.30000305,76,18.34999848
216,216L,1,Inter,Ihed-4.4,H,Ihed-4.4-Ip-4.15,O,159.8369446,63.16072083,3.498361349,70.40000153,56.5,26.54999924
216,216R,1,Inter,Ip-4.15,P,Ihed-4.4-Ip-4.15,O,163.5004425,53.86641693,4.719100952,82.80000305,40.29999924,28.44999886
217,217L,1,Inter,Ip-4.14,P,Ihed-4.9-Ip-4.14,O,231.5886841,43.30986404,4.661750793,66.5,32.79999924,40.35000038
217,217R,1,Inter,Ihed-4.9,H,Ihed-4.9-Ip-4.14,O,229.5657959,54.75036621,5.849719048,79.69999695,73.90000153,13.20000076
218,218L,1,Intra,Ihed-4.7,H,Ihed-4.2-Ihed-4.7,O,278.7157898,75.27822876,9.41362381,53.5,80.59999847,22.95000077
218,218R,1,Intra,Ihed-4.2,H,Ihed-4.2-Ihed-4.7,O,153.0882416,49.37264633,4.186563492,70.59999847,75.19999695,17.10000229
219,219L,1,Inter,Ihed-4.15,H,Ihed-4.15-Ip-4.14,O,330.1298523,67.09602356,7.971675873,50.70000076,92.30000305,39.29999924
219,219R,1,Inter,Ip-4.14,P,Ihed-4.15-Ip-4.14,O,264.8009338,49.56011963,4.66994381,71.80000305,116.9000015,18.19999695
220,220L,1,Alone,Ip-4.12,P,Ip-4.12,O,318.7803955,76.57377625,8.479635239,47.29999924,110.5,42.70000076
221,221R,1,Inter,Ip-4.11,P,Ihed-4.7-Ip-4.11,O,243.8263245,42.48310471,4.243913651,77.40000153,117.8000031,12.59999847
222,222L,1,Intra,Ihed-4.3,H,Ihed-4.15-Ihed-4.3,O,120.3418655,47.38525772,5.448267937,52.59999847,70.69999695,28.35000229
222,222R,1,Intra,Ihed-4.15,H,Ihed-4.15-Ihed-4.3,O,279.2988281,49.60522842,4.809222698,75.19999695,60.09999847,22.35000229
223,223L,1,Inter,Ip-4.15,P,Ihed-4.9-Ip-4.15,O,426.131012,87.40828705,10.33941936,47.59999847,89.40000153,21.5
223,223R,1,Inter,Ihed-4.9,H,Ihed-4.9-Ip-4.15,O,214.4608002,33.4356842,5.186095715,76.5,48.09999847,27.70000077
224,224L,1,Intra,Ihed-4.1,H,Ihed-4.1-Ihed-4.15,O,253.7846832,47.07608795,4.620786667,84.09999847,23.79999924,36.05000115
224,224R,1,Intra,Ihed-4.15,H,Ihed-4.1-Ihed-4.15,O,295.5949707,68.05367279,6.996722698,69.59999847,93.30000305,20.40000153
225,225R,1,Inter,Ip-4.13,P,Ihed-4.15-Ip-4.13,O,103.6582413,18.21687317,2.253043175,80.5,80,9.75
226,226L,1,Inter,Ihed-4.3,H,Ihed-4.3-Ip-4.14,O,186.401825,71.68961334,11.03581429,64.40000153,46.29999924,34.64999962
226,226R,1,Inter,Ip-4.14,P,Ihed-4.3-Ip-4.14,O,307.2548523,64.67938232,7.103230476,64.59999847,56.09999847,29.65000153
229,229L,1,Inter,Ihed-4.12,H,Ihed-4.12-Ip-4.17,O,255.8650513,65.9582901,7.791432381,52.40000153,55.79999924,35.89999962
229,229R,1,Inter,Ip-4.17,P,Ihed-4.12-Ip-4.17,O,325.8710022,71.70189667,6.382256508,75.40000153,89.80000305,7.39999771
231,231L,1,Inter,Ihed-4.3,H,Ihed-4.3-Ip-4.18,O,208.3917542,102.2347641,8.299391747,61.09999847,83.09999847,17.90000153
231,231R,1,Inter,Ip-4.18,P,Ihed-4.3-Ip-4.18,O,315.0153198,67.69731903,7.938904285,74.09999847,91.19999695,15.90000153
232,232L,1,Inter,Ihed-4.4,H,Ihed-4.4-Ip-4.17,O,174.0460968,50.36459351,4.973080635,72.80000305,100.1999969,17.19999695
