Id,Experiment,Population,Code,Species,ML,PrimaryRootLength,Angle_1,Angle_2,RootSystemWidth,AvAng,Total.Area
49,2,PA4,PA 4.11 Ip,Ip,PA 4.11 Ip,11.63755102,36.31027025,53.67399923,4.258795036,44.99213474,5.970793666
50,1,PA1,PA 1.1 Ip,Ip,PA 1.1 Ip,15.13129252,47.35943492,41.21612141,8.505182373,44.28777816,0.699
50,2,PA4,PA 4.3 Ihed,Ihed,PA 4.3 Ihed,12.52340136,21.91402821,37.82320797,6.821332111,29.86861809,5.726
51,1,PA4,PA 4.2 Ihed,Ihed,PA 4.2 Ihed,14.76578231,12.12773711,26.46396843,7.794846479,19.29585277,3.387
51,2,PA3,PA 3.2 Ihed,Ihed,PA 3.2 Ihed,11.50496599,15.8990642,18.24463547,6.510308314,17.07184983,3.651
52,1,PA3,PA 3.1 Ihed,Ihed,PA 3.1 Ihed,13.54170068,29.54136242,35.66523923,7.172177638,32.60330083,1.79
52,2,PA4,PA 4.5 Ihed,Ihed,PA 4.5 Ihed,0.403129252,50.55746727,20.03824885,3.917888024,35.29785806,0.393
53,1,PA2,PA 2.8 Ihed,Ihed,PA 2.8 Ihed,1.824829932,34.38230037,24.81853601,11.6021712,29.60041819,5.445
53,2,PA1,PA 1.12 Ihed,Ihed,PA 1.12 Ihed,11.5792517,19.00209039,17.40947777,4.580400021,18.20578408,3.561
54,1,OC1,OC 1.2 Ip,Ip,OC 1.2 Ip,17.79204082,43.3131512,37.55698958,14.39324058,40.43507039,2.408
54,2,OC1,OC 1.5 Ip,Ip,OC 1.5 Ip,12.35897959,32.18080563,19.64414096,6.749598449,25.9124733,7.191
55,1,PA1,PA 1.3 Ip,Ip,PA 1.3 Ip,14.96979592,45.0515459,44.69172438,9.402147654,44.87163514,1.511
56,1,PA2,PA 2.2 Ihed,Ihed,PA 2.2 Ihed,17.47748299,34.01027696,36.69025479,15.10285969,35.35026587,6.807
56,2,PA4,PA 4.14 Ip,Ip,PA 4.14 Ip,11.46782313,46.46862829,20.97008639,5.703324145,33.71935734,4.158
57,1,PA2,PA 2.4 Ihed,Ihed,PA 2.4 Ihed,16.8570068,30.10113157,29.86156959,13.02395896,29.98135058,5.28
57,2,PA4,PA 4.9 Ihed,Ihed,PA 4.9 Ihed,11.44129252,35.49480353,18.85782043,7.689123546,27.17631198,3.64
58,2,PA4,PA 4.7 Ihed,Ihed,PA 4.7 Ihed,12.44380952,31.80534487,19.47934784,9.702186058,25.64234635,7.182403808
59,1,PA3,PA 3.18 Ihed,Ihed,PA 3.18 Ihed,16.94204082,41.59697658,36.2833754,10.63748258,38.94017599,3.806
62,1,PA1,PA 1.5 Ihed,Ihed,PA 1.5 Ihed,15.39489796,36.77036647,19.61610414,10.46954167,28.1932353,2.495
62,2,PA2,PA 2.8 Ihed,Ihed,PA 2.8 Ihed,10.95863946,16.56024942,8.921633055,5.669491225,12.74094124,1.851
63,2,PA1,PA 1.4 Ihed,Ihed,PA 1.4 Ihed,11.2344898,2.292109825,33.73176337,3.510228224,18.0119366,1.364
64,1,PA4,PA 4.7 Ihed,Ihed,PA 4.7 Ihed,1.632108844,35.76046816,47.30662431,10.64077,41.53354624,2.957
65,2,PA1,PA 1.4 Ihed,Ihed,PA 1.4 Ihed,12.38013605,22.32385707,41.67419992,5.894073949,31.9990285,8.074870676
66,1,PA3,PA 3.18 Ihed,Ihed,PA 3.18 Ihed,12.41108844,42.21821164,61.34380147,9.640884523,51.78100656,2.661
67,2,PA2,PA 2.11 Ihed,Ihed,PA 2.11 Ihed,11.58986395,13.27245576,26.1895369,4.945530053,19.73099633,11.89352823
68,2,PA3,PA 3.9 Ihed,Ihed,PA 3.9 Ihed,12.08843537,30.8704375,43.60235641,8.076597591,37.23639696,6.313760863
69,1,PA1,PA 1.1 Ip,Ip,PA 1.1 Ip,14.64673469,42.05523828,32.04278095,6.772167712,37.04900961,1.184
69,2,PA1,PA 1.3 Ip,Ip,PA 1.3 Ip,11.90278912,37.04930046,21.03760121,5.285828105,29.04345083,NA
70,1,PA1,PA 1.14 Ihed,Ihed,PA 1.14 Ihed,16.88251701,39.63955253,26.56505118,10.35246827,33.10230185,2.5
70,2,PA4,PA 4.2 Ihed,Ihed,PA 4.2 Ihed,12.13088435,22.27243954,13.61386886,5.515953758,17.9431542,5.560539825
71,1,OC1,OC 1.5 Ip,Ip,OC 1.5 Ip,15.18639456,52.06136073,48.70711538,12.13585282,50.38423805,4.294
72,1,PA4,PA 4.2 Ip,Ip,PA 4.2 Ip,17.12054422,43.61101401,37.90654369,8.544669763,40.75877885,3.549
73,1,PA4,PA 4.17 Ip,Ip,PA 4.17 Ip,15.40333333,69.78381844,31.40823753,5.970605935,50.59602799,1.338
74,1,PA1,PA 1.9 Ihed,Ihed,PA 1.9 Ihed,17.95360544,39.08840534,35.63667231,11.49978953,37.36253882,4.029
74,2,PA4,PA 4.4 Ihed,Ihed,PA 4.4 Ihed,11.92931973,28.26115086,34.12411816,8.740173088,31.19263451,6.808044962
75,2,PA4,PA 4.1 Ihed,Ihed,PA 4.1 Ihed,12.93891156,17.2919648,67.49986319,6.425059229,42.395914,2.947497408
76,1,PA1,PA 1.4 Ihed,Ihed,PA 1.4 Ihed,0.935102041,27.26026299,23.86673017,8.35807258,25.56349658,3.082
76,2,PA3,PA 3.1 Ihed,Ihed,PA 3.1 Ihed,11.71714286,25.22242715,38.29826749,7.909171834,31.76034732,4.041327835
79,2,PA3,PA 3.1 Ihed,Ihed,PA 3.1 Ihed,12.03006803,17.35536596,27.52686218,7.40006105,22.44111407,4.957
80,1,PA3,PA 3.1 Ihed,Ihed,PA 3.1 Ihed,16.58496599,29.62450695,31.28173824,11.9051347,30.45312259,4.792
80,2,PA4,PA 4.2 Ip,Ip,PA 4.2 Ip,12.15741497,17.84923593,14.72822023,3.519663572,16.28872808,4.54
82,1,OC1,OC 1.7 Ip,Ip,OC 1.7 Ip,16.61897959,36.97252028,23.39671213,9.820840468,30.1846162,3.544
83,2,PA2,PA 2.1 Ihed,Ihed,PA 2.1 Ihed,0.307687075,23.66785184,26.42623294,4.502437608,25.04704239,3.877
84,1,PA1,PA 1.8 Ip,Ip,PA 1.8 Ip,16.69544218,28.93768171,35.22870804,10.17647381,32.08319487,3.82
85,1,PA3,PA 3.14 Ihed,Ihed,PA 3.14 Ihed,16.67843537,30.69650051,38.71560684,9.316774637,34.70605368,3.647
86,1,PA1,PA 1.1 Ihed,Ihed,PA 1.1 Ihed,16.59346939,33.29728124,24.02122866,7.832409446,28.65925495,1.939
87,1,PA4,PA 4.5 Ihed,Ihed,PA 4.5 Ihed,17.42088435,32.47548849,27.45921538,9.924899441,29.96735194,3.205
88,1,OC1,OC 1.1 Ip,Ip,OC 1.1 Ip,17.00435374,57.43380142,44.64785052,15.61378172,51.04082597,3.46
88,2,PA2,PA 2.2 Ihed,Ihed,PA 2.2 Ihed,12.58176871,1.55264981,25.05329612,3.792550883,13.30297297,2.186
90,1,PA4,PA 4.13 Ip,Ip,PA 4.13 Ip,13.96952381,53.52308762,31.25818178,10.00435323,42.3906347,1.896
90,2,PA1,PA 1.1 Ihed,Ihed,PA 1.1 Ihed,12.36959184,49.86046326,54.54178605,4.853381431,52.20112466,3.104
91,1,OC1,OC 1.9 Ip,Ip,OC 1.9 Ip,3.12829932,37.20474773,37.44912313,15.67788429,37.32693543,5.262
91,2,PA1,PA 1.9 Ihed,Ihed,PA 1.9 Ihed,12.27408163,41.95009892,43.34799231,5.386081658,42.64904561,2.715
92,1,PA4,PA 4.9 Ihed,Ihed,PA 4.9 Ihed,1.870136054,32.25157761,54.32843495,6.502334238,43.29000628,3.01
93,1,PA1,PA 1.3 Ip,Ip,PA 1.3 Ip,14.6722449,47.21820953,36.71695078,10.57701845,41.96758016,0.822
93,2,PA1,PA 1.8 Ip,Ip,PA 1.8 Ip,11.95578231,68.23070894,46.14825139,4.7662852,57.18948017,1.913
94,1,PA4,PA 4.17 Ip,Ip,PA 4.17 Ip,17.47333333,53.63457266,41.76006382,8.350759522,47.69731824,1.417
94,2,PA1,PA 1.18 Ihed,Ihed,PA 1.18 Ihed,12.04421769,41.0061506,33.61167743,6.053119855,37.30891401,2.138
95,1,PA4,PA 4.16 Ip,Ip,PA 4.16 Ip,13.11380952,37.24870492,56.72742712,8.623423957,46.98806602,0.917
95,2,PA1,PA 1.15 Ihed,Ihed,PA 1.15 Ihed,11.90278912,23.41255391,24.08466524,5.998422211,23.74860958,4.861
96,2,PA3,PA 3.18 Ihed,Ihed,PA 3.18 Ihed,12.68428571,16.69542034,19.80594466,5.410077343,18.2506825,4.415
98,1,PA4,PA 4.11 Ip,Ip,PA 4.11 Ip,15.23346939,40.16065042,58.52768338,9.976745819,49.3441669,1.932
99,1,PA2,PA 2.7 Ihed,Ihed,PA 2.7 Ihed,14.50789116,48.58825587,49.9939471,12.52847822,49.29110149,0.902
